Tidsmerke,Age,Experience,Gender,Which company do you work for?,Which company do you work for [Normalized]?,How many people work there in total?,How many in a technical position?,Current work,I see myself as primarily...,Which programming languages do you know?,Do you know any SQL-dialects?,Do you know any SQL-dialects? [Normalized],Bash,C,C#,C++,Clojure,CoffeeScript,Go,Groovy,Java,JavaScript,Objective-C,PHP,Python,Ruby,Scala,Swift,Your favourite,What motivates you to learn a new programming language?,"How many programming languages do you think a ""good"" programmer should know?"
31.08.2015 kl. 12.35.44,41-45,10,Male,FINN.no,FINN,450,120,My position does not involve programming,Manager,"Bash, C, C++, Clojure, Common Lisp, Go, Groovy, Java, JavaScript, Pascal, Perl, Python, R, Ruby, Scala, Simula","T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/pgSQL (PostgreSQL)","T-SQL , SQL/PSM , PL/pgSQL ",4,2,1,3,3,1,3,3,5,3,1,2,3,2,3,1,Java,Just to learn,4
31.08.2015 kl. 15.26.54,26-30,2,Male,Finn.no,FINN,400,100,"Java, JavaScript",a fullstack developer,"Bash, C, C++, CoffeeScript, Java, JavaScript, Objective-C, Perl, Python, Ruby, Scala, Swift","PSQL (Interbase / Firebird), PL/pgSQL (PostgreSQL)","PSQL , PL/pgSQL ",3,4,2,3,1,4,1,1,4,5,3,1,4,4,3,3,Python,Just to learn,5
31.08.2015 kl. 15.28.06,31-35,10,Male,FINN.no,FINN,500,120,"Groovy, Java, JavaScript, Ruby",a fullstack developer,"Clojure, CoffeeScript, Groovy, Java, JavaScript, Ruby, Scala",PL/pgSQL (PostgreSQL),PL/pgSQL ,2,1,1,3,2,4,1,5,5,4,2,2,2,3,3,2,Ruby,"Need it for work, Need it for non-work, Just to learn",3
02.09.2015 kl. 08.46.01,36-40,10,Male,FINN.no,FINN,450,130,"Bash, Go, Java, Ruby",devops,"AWK, Bash, C, Go, Java, JavaScript, PHP, Ruby, Swift","T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/pgSQL (PostgreSQL)","T-SQL , SQL/PSM , PL/pgSQL ",4,3,1,2,1,1,3,1,3,4,1,3,2,3,1,3,Go,Need it for non-work,5
02.09.2015 kl. 17.38.06,36-40,8,Female,FINN.no,FINN,400,150,"Bash, Java, JavaScript, Scala",a fullstack developer,"Java, JavaScript, Objective-C, Perl, Ruby","T-SQL (Microsoft / Sybase), PL/pgSQL (PostgreSQL)","T-SQL , PL/pgSQL ",2,2,2,2,1,2,1,1,4,4,3,2,1,3,2,1,Java,"Need it for work, Just to learn",3
03.09.2015 kl. 09.44.35,41-45,10,Male,FINN.no,FINN,450,10,My position does not involve programming,techical potato,Pascal,"T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB)","T-SQL , SQL/PSM ",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"don't know, not a programmer","Need it for work, Need it for non-work",10
03.09.2015 kl. 10.03.19,31-35,8,Male,FINN.no,FINN,300,100,"Bash, Groovy, Java, JavaScript",a frontend developer,"Bash, Groovy, Java, JavaScript, Perl, Ruby","SQL/PSM (Mimer SQL, MySQL, MonetDB)",SQL/PSM ,3,1,3,1,1,2,1,4,5,5,1,2,1,3,1,1,JavaScript,Need it for work,5
03.09.2015 kl. 10.42.18,31-35,6,Female,Finn.no,FINN,400,120,Java,a backend developer,"C++, Groovy, Java, Ruby, Scala","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/pgSQL (PostgreSQL)","SQL/PSM , PL/pgSQL ",2,1,1,3,1,1,1,2,4,2,1,1,1,2,3,1,Java,Just to learn,5
03.09.2015 kl. 10.53.05,46-50,5,Male,FINN.no,FINN,440,140,"Bash, PHP",PO,"AWK, Bash, C, C++, Common Lisp, Java, JavaScript, Python, Ruby","PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","PL/SQL , PL/pgSQL ",3,3,1,2,1,1,1,1,3,2,1,2,2,2,1,1,AWK,Need it for work,3
03.09.2015 kl. 10.57.14,36-40,10,Male,FINN.no,FINN,400,120,"Bash, Ruby",devops,"AWK, Bash, C, C++, Fortran, Go, Java, JavaScript, Lua, PHP, Pascal, Perl, PostScript, Python, R, Ruby, Tcl, Visual Basic",,,5,2,1,2,1,2,2,1,2,2,2,4,4,5,1,1,Ruby,"Need it for work, Need it for non-work",4
