Tidsmerke,Age,Experience,Gender,Which company do you work for?,Which company do you work for [Normalized]?,How many people work there in total?,How many in a technical position?,Current work,I see myself as primarily...,Which programming languages do you know?,Do you know any SQL-dialects?,Do you know any SQL-dialects? [Normalized],Bash,C,C#,C++,Clojure,CoffeeScript,Go,Groovy,Java,JavaScript,Objective-C,PHP,Python,Ruby,Scala,Swift,Your favourite,What motivates you to learn a new programming language?,"How many programming languages do you think a ""good"" programmer should know?"
15.09.2015 kl. 10.26.38,26-30,7,Male,Schibsted Spain,Schibsted Spain,800,200,"Bash, Python",devops,"AWK, Bash, Hack, Java, JavaScript, PHP, Perl, PowerShell, Python","T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB)","T-SQL , SQL/PSM ",4,3,2,3,1,1,1,1,3,3,1,3,4,1,1,1,Python,"Need it for work, Need it for non-work",3
15.09.2015 kl. 10.51.07,26-30,2,Male,Schibsted tech Poland,Schibsted Tech Polska,140,100,"C#, JavaScript",a fullstack developer,"C, C#, C++, Java, JavaScript, PowerShell","T-SQL (Microsoft / Sybase), PL/pgSQL (PostgreSQL)","T-SQL , PL/pgSQL ",1,2,4,2,1,1,1,1,2,3,1,1,1,1,1,1,C#,"Just to learn, Develop myself, explore different solutions and approaches",3
15.09.2015 kl. 11.21.00,31-35,9,Male,Schibsted Tech Poland,Schibsted Tech Polska,100,90,"Bash, Java, JavaScript",a backend developer,"Bash, C, Clojure, Java, JavaScript, Python, Ruby",PL/pgSQL (PostgreSQL),PL/pgSQL ,3,4,2,2,4,1,1,1,5,4,1,1,3,3,3,1,Clojure,"Just to learn, improve my code quality, decrease development time / no of bugs",5
29.09.2015 kl. 16.26.31,31-35,8,Male,Schibsted Tech Poland,Schibsted Tech Polska,120,110,"T-SQL, SQL",a warehouse developer,"C#, C++, T-SQL, SQL",T-SQL (Microsoft / Sybase),T-SQL ,1,3,3,3,1,1,1,1,3,2,1,2,1,1,1,1,T-SQL,"Need it for work, Need it for non-work, Just to learn",2
31.08.2015 kl. 11.53.56,31-35,8,Male,Schibsted Tech Polska,Schibsted Tech Polska,150,130,"Bash, JavaScript, PHP",a backend developer,"AWK, Bash, JavaScript, PHP, Perl",PL/pgSQL (PostgreSQL),PL/pgSQL ,2,1,1,1,1,1,1,1,1,3,1,5,1,1,1,1,PHP,Just to learn,4
02.09.2015 kl. 07.36.16,−25,3,Male,Schibsted Tech Polska,Schibsted Tech Polska,200,180,"Bash, C, C++, Objective-C, Swift",a mobile developer,"Bash, C, C#, C++, Fortran, Groovy, Haskell, Java, JavaScript, Objective-C, Perl, Prolog, Swift","PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","PL/SQL , PL/pgSQL ",3,3,2,3,1,1,1,1,3,2,5,1,2,1,1,3,Swift,"Need it for work, Need it for non-work, Just to learn",4
04.09.2015 kl. 14.55.32,36-40,10,Male,Schibsted Tech Polska,Schibsted Tech Polska,160,150,"Java, JavaScript",a backend developer,"C, C#, Java, JavaScript","SQL/PSM (Mimer SQL, MySQL, MonetDB)",SQL/PSM ,2,4,4,3,1,1,1,2,5,4,1,2,1,1,1,1,Java,Need it for work,
15.09.2015 kl. 11.40.47,−25,1,Male,Schibsted Tech Polska,Schibsted Tech Polska,150,130,Java,a backend developer,"C, C++, Java, Python, Scala","T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB)","T-SQL , SQL/PSM ",3,4,1,3,1,1,1,1,4,1,1,1,2,1,1,1,Java,"Need it for work, Need it for non-work, Just to learn",3
15.09.2015 kl. 13.16.01,36-40,10,Male,Schibsted Tech Polska,Schibsted Tech Polska,200,150,Java,a backend developer,"Java, Pascal, Ruby, Scala",PL/SQL (Oracle),PL/SQL ,2,2,1,2,1,1,1,2,5,2,1,1,1,2,2,1,Scala,Need it for work,3
15.09.2015 kl. 14.20.05,26-30,6,Male,Schibsted Tech Polska,Schibsted Tech Polska,120,100,"Bash, Java, Python",a backend developer,"Bash, C, Clojure, CoffeeScript, Groovy, Java, JavaScript, PHP, Pascal, Python, Ruby, Scala","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","SQL/PSM , PL/SQL , PL/pgSQL ",3,3,1,2,2,3,1,4,5,5,1,5,3,3,2,1,Go,"Need it for work, Just to learn",4
15.09.2015 kl. 14.20.15,26-30,6,Male,Schibsted Tech Polska,Schibsted Tech Polska,120,100,"Bash, Java, Python",a backend developer,"Bash, C, Clojure, CoffeeScript, Groovy, Java, JavaScript, PHP, Pascal, Python, Ruby, Scala","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","SQL/PSM , PL/SQL , PL/pgSQL ",3,3,1,2,2,3,1,4,5,5,1,5,3,3,2,1,Go,"Need it for work, Just to learn",4
16.09.2015 kl. 09.51.59,−25,1,Male,Schibsted Tech Polska,Schibsted Tech Polska,130,120,JavaScript,a fullstack developer,"Bash, C, C++, Java, JavaScript",T-SQL (Microsoft / Sybase),T-SQL ,2,3,1,2,1,1,1,1,3,3,1,1,2,1,1,1,JavaScript,Just to learn,6
28.09.2015 kl. 13.38.18,−25,1,Male,Schibsted Tech Polska,Schibsted Tech Polska,130,110,"Groovy, Java",a backend developer,"Bash, C, C#, C++, Common Lisp, Erlang, Groovy, Java, JavaScript, Pascal, Python, Scala","SQL PL (IBM DB2), SPL (IBM Informix), T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","SQL PL , SPL , T-SQL , SQL/PSM , PL/SQL , PL/pgSQL ",3,3,2,2,1,1,1,3,4,2,1,1,3,1,2,1,Java,To see advantages of those programming languages,4
28.09.2015 kl. 13.48.49,31-35,10,Male,Schibsted Tech Polska,Schibsted Tech Polska,130,120,"Groovy, Java",a backend developer,"Bash, C, C++, Groovy, Java, JavaScript, PHP, Pascal, Perl, Python, Scala","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","SQL/PSM , PL/SQL , PL/pgSQL ",3,3,1,3,1,1,1,2,5,4,1,3,3,1,2,1,Java,"Need it for work, Need it for non-work",1
30.09.2015 kl. 15.00.53,31-35,8,Male,Schibsted Tech Polska,Schibsted Tech Polska,150,140,My position does not involve programming,Datawarehouse developer,"C#, Java","T-SQL (Microsoft / Sybase), PL/SQL (Oracle)","T-SQL , PL/SQL ",2,1,4,1,1,1,1,1,2,3,1,1,1,1,1,1,C#,Need it for work,2
15.09.2015 kl. 10.38.40,−25,3,Male,STP,Schibsted Tech Polska,150,120,JavaScript,a frontend developer,"Bash, C, C#, C++, Java, JavaScript, PHP, Pascal, Python",PL/SQL (Oracle),PL/SQL ,2,2,2,2,1,1,1,1,2,4,1,3,2,1,1,1,JavaScript,"Need it for work, Just to learn",3
15.09.2015 kl. 10.41.46,31-35,8,Male,STP,Schibsted Tech Polska,150,140,"Bash, Groovy, Java, JavaScript",a fullstack developer,"Bash, Clojure, Groovy, Java, JavaScript, Python",PL/pgSQL (PostgreSQL),PL/pgSQL ,3,2,2,2,3,2,2,4,5,5,1,1,2,2,2,1,JavaScript,"Need it for work, Need it for non-work, Just to learn",4
03.09.2015 kl. 10.38.26,26-30,7,Male,Schibsted Classified Media,SCM,100,70,SQL,data engineer,"Java, JavaScript","PSQL (Interbase / Firebird), SQL PL (IBM DB2), PL/SQL (Oracle), PL/pgSQL (PostgreSQL), PL/PSM (PostgreSQL), SQL (Redshift)","PSQL , SQL PL , PL/SQL , PL/pgSQL , PL/PSM , SQL Redshift",3,2,2,1,1,1,1,1,4,4,1,3,1,1,1,1,Java,Just to learn,3
03.09.2015 kl. 09.58.58,31-35,7,Male,SCM,SCM,70,50,"Bash, PHP, Python, Scala",a backend developer,"Bash, C, Java, PHP, Perl, Python, R, Scala","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/pgSQL (PostgreSQL), SQL Redshift","SQL/PSM , PL/pgSQL , SQL Redshift",4,3,1,2,1,1,1,1,2,3,1,4,4,2,3,1,Python,"Need it for work, Just to learn",1
03.09.2015 kl. 11.57.54,36-40,10,Male,SCM,SCM,80,65,"Bash, JavaScript, PHP, Python",a fullstack developer,"Bash, C, C++, Java, JavaScript, PHP, Perl, Prolog, Python, R, Visual Basic","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle)","SQL/PSM , PL/SQL ",3,3,1,3,1,1,1,1,2,4,1,5,2,1,1,1,Python,Just to learn,3
28.08.2015 kl. 10.58.10,31-35,7,Male,Schibsted Barcelona Office,SCM Barcelona,70,30,"Objective-C, Swift",a frontend developer,"C, C++, Objective-C, Python, Swift","SQL/PSM (Mimer SQL, MySQL, MonetDB)",SQL/PSM ,3,4,2,4,1,1,1,1,3,3,5,2,4,1,1,5,Swift,Just to learn,2
28.08.2015 kl. 10.52.16,31-35,8,Male,SCM Barcelona,SCM Barcelona,100,60,"Java, Python",a backend developer,"Bash, Java, PHP, Python",PL/SQL (Oracle),PL/SQL ,4,1,1,1,2,1,1,1,5,4,1,4,3,1,2,1,Python,Just to learn,3
03.09.2015 kl. 10.38.56,36-40,10,Male,SCM Barcelona,SCM Barcelona,80,60,"Java, PHP, Python",a backend developer,"Go, Java, JavaScript, PHP, Python, Ruby","SQL/PSM (Mimer SQL, MySQL, MonetDB)",SQL/PSM ,1,2,1,2,1,1,2,1,2,3,1,5,3,3,1,1,PHP,"Need it for work, Just to learn",2
03.09.2015 kl. 10.48.49,26-30,8,Male,SCM Barcelona ,SCM Barcelona,80,50,"Bash, Java, JavaScript, Ruby",a fullstack developer,"Bash, C, C#, C++, Clojure, CoffeeScript, Go, Groovy, Java, JavaScript, Lua, Objective-C, PHP, Perl, Prolog, Python, R, Ruby, Scala","SPL (IBM Informix), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","SPL , SQL/PSM , PL/SQL , PL/pgSQL ",4,3,2,2,1,2,3,3,4,5,2,5,3,5,2,1,Ruby,Need it for work,5
03.09.2015 kl. 11.34.57,36-40,10,Male,scm central,scm central,5,5,"Bash, C, C++, Go, PHP, Python",a backend developer,"AWK, Bash, C, C++, Go, Java, JavaScript, PHP, Perl, Python, R, Tcl","PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","PL/SQL , PL/pgSQL ",4,4,2,3,1,1,3,1,3,3,1,3,3,2,1,1,it really depends on the project,"to solve a problem, does not matter if it work related, but I do not do it ""Just to learn""",1
17.09.2015 kl. 10.08.55,36-40,10,Male,SCM NE,SCM Northern Europe,10,5,"Bash, C, C++, Go",a backend developer,"AWK, Bash, C, C++, Common Lisp, Erlang, Go, Java, Lua, PHP, Pascal, Perl, Python, Scheme",PL/pgSQL (PostgreSQL),PL/pgSQL ,2,5,1,3,1,1,4,1,3,3,1,3,2,1,1,1,Go,Just to learn,10
28.08.2015 kl. 10.51.47,36-40,8,Rather not say,SCM Northern Europe,SCM Northern Europe,11,5,"Bash, C, C++, Go",a backend developer,"Bash, C, C++, Common Lisp, Go, Java, JavaScript, Lua, Objective-C, PHP, Pascal, Perl, Pike, Prolog, Python, Tcl","PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","PL/SQL , PL/pgSQL ",4,5,1,3,1,1,3,1,2,2,4,4,4,2,1,2,Go,"Need it for work, Need it for non-work, Just to learn",1
28.08.2015 kl. 10.51.35,36-40,10,Male,SCM Northern Europe AB,SCM Northern Europe,0,0,"Bash, C",a backend developer,"Bash, C, C++, Forth, Go, Java, JavaScript, Lua, Objective-C, PHP, Pascal, Perl, Prolog, Python, Ruby, Tcl, Visual Basic, x86 assembly",PL/pgSQL (PostgreSQL),PL/pgSQL ,3,4,1,3,1,1,2,1,3,3,1,3,3,2,1,1,The right one,"Need it for work, Need it for non-work, Just to learn",8
28.08.2015 kl. 11.01.37,36-40,10,Male,"SCM Northern Europe, Coordination Team",SCM Northern Europe,5,5,"Bash, C, C++, Go, SQL",a backend developer,"AWK, Bash, C, C++, Go, Java, JavaScript, PHP, Pascal, Perl, PostScript, Prolog, Scheme, Swift, Visual Basic, SQL etc",PL/pgSQL (PostgreSQL),PL/pgSQL ,3,4,1,2,1,1,2,1,4,2,2,4,1,1,1,2,C,,
03.09.2015 kl. 09.41.40,31-35,10,Male,SCM Spain,SCM Spain,400,100,"Bash, Java, PHP",a backend developer,"Java, JavaScript, PHP","SQL/PSM (Mimer SQL, MySQL, MonetDB)",SQL/PSM ,3,1,1,1,1,2,1,1,3,4,1,5,2,2,2,1,PHP,Just to learn,3
16.09.2015 kl. 09.01.41,31-35,10,Male,scm-spain,SCM Spain,30,20,Go,a fullstack developer,"Go, Java, PHP","SQL/PSM (Mimer SQL, MySQL, MonetDB)",SQL/PSM ,3,2,2,3,1,2,4,1,3,4,1,5,2,2,1,1,nodeJS,Just to learn,3
28.08.2015 kl. 17.40.05,−25,2,Male,Segunda Mano México,Segundamano.mx,70,35,"Bash, Go",a backend developer,"Bash, C, C++, Go, Haskell, Java, JavaScript, PHP, Prolog, Scheme","PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","PL/SQL , PL/pgSQL ",3,3,2,3,1,1,4,1,4,4,1,4,1,1,1,1,Go,Need it for work,5
28.08.2015 kl. 18.15.14,31-35,8,Male,Segundamano México,Segundamano.mx,73,35,"Bash, Go, JavaScript",a frontend developer,"Bash, Go, JavaScript, PHP","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/pgSQL (PostgreSQL)","SQL/PSM , PL/pgSQL ",3,2,1,1,1,2,2,1,1,4,1,4,1,1,1,1,JavaScript,Just to learn,3
28.08.2015 kl. 19.38.12,26-30,5,Male,Segundamano México,Segundamano.mx,80,26,"Bash, C, Go",a backend developer,"AWK, Bash, C, C#, C++, Go, Java, JavaScript, Objective-C, PowerShell, Python, Ruby, Visual Basic, Supercollider","PSQL (Interbase / Firebird), PL/pgSQL (PostgreSQL)","PSQL , PL/pgSQL ",3,4,1,4,1,1,3,1,3,1,1,1,2,2,1,1,Go,"Need it for work, Need it for non-work, It has useful idioms for a given set of problems",4
28.08.2015 kl. 16.25.34,26-30,7,Male,Segundamano.mx,Segundamano.mx,70,35,"Bash, C, Go, JavaScript, PHP, Python",a fullstack developer,"Bash, C, C#, C++, Go, Java, JavaScript, Objective-C, PHP, Perl, Python, Ruby, Visual Basic","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","SQL/PSM , PL/SQL , PL/pgSQL ",4,4,3,3,1,1,3,1,3,5,4,5,4,3,1,1,C,"Need it for work, Just to learn",1
28.08.2015 kl. 17.33.28,31-35,10,Male,Segundamano.mx,Segundamano.mx,73,30,"Bash, Go, JavaScript",a frontend developer,"Bash, Go, JavaScript, PHP, R, Ruby",PL/pgSQL (PostgreSQL),PL/pgSQL ,3,1,1,1,1,1,3,1,2,3,1,2,2,2,1,1,Go,"Need it for work, Need it for non-work, Just to learn",4
03.09.2015 kl. 14.47.05,−25,2,Male,Segundamano.mx,Segundamano.mx,70,31,"Bash, C, Go",a backend developer,"AWK, Bash, C, C#, C++, CoffeeScript, Common Lisp, Erlang, Fortran, Go, Haskell, Java, JavaScript, PHP, Perl, Prolog, Python, Ruby","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","SQL/PSM , PL/SQL , PL/pgSQL ",3,4,2,2,1,2,4,2,3,3,2,3,4,4,1,1,Go,How fun it is,5
16.09.2015 kl. 14.50.53,26-30,1,Male,Segundamano.mx,Segundamano.mx,70,40,"Bash, C, Go, Java, Python, Ruby",a backend developer,"AWK, Bash, C, C#, C++, Common Lisp, F#, Go, Haskell, Java, JavaScript, OCaml, PHP, Pascal, Prolog, Python, Ruby, Visual Basic, Standard ML",PL/pgSQL (PostgreSQL),PL/pgSQL ,5,4,2,2,1,1,4,2,4,3,1,3,3,4,1,1,Go,"Need it for work, Need it for non-work, Just to learn",2
31.08.2015 kl. 21.33.09,−25,1,Male,SegundamanoMX,Segundamano.mx,70,30,"C, Go, JavaScript, Python",a backend developer,"C, C#, Go, Java, JavaScript, PHP, Python","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/pgSQL (PostgreSQL), PL/PSM (PostgreSQL)","SQL/PSM , PL/pgSQL , PL/PSM ",3,4,4,4,1,1,3,1,3,3,1,3,4,1,1,1,Go,"Need it for work, Need it for non-work, Just to learn",5
15.09.2015 kl. 11.59.33,36-40,10,Male,SNT,SNT,50,30,"Java, JavaScript, PHP",a backend developer,"Bash, C, C++, Java, JavaScript, Objective-C, PHP, Pascal, Perl, Scala, Visual Basic","SQL/PSM (Mimer SQL, MySQL, MonetDB)",SQL/PSM ,3,2,2,2,1,1,1,1,4,4,2,3,1,1,3,1,Java,"Need it for work, Need it for non-work",3
07.09.2015 kl. 09.17.59,31-35,8,Male,SnT Asia,SnT Asia,15,11,"JavaScript, PHP, Ruby",a fullstack developer,"Bash, C, CoffeeScript, Java, JavaScript, PHP, Pascal, Python, Ruby, Visual Basic",PL/SQL (Oracle),PL/SQL ,2,3,1,2,1,3,1,1,4,4,1,4,3,2,1,1,JavaScript,"Need it for work, Need it for non-work, Just to learn",4
03.09.2015 kl. 10.27.03,31-35,3,Male,SnT Classifieds,SnT Classifieds,15,7,"Bash, PHP, Python",devops,"Bash, C, Java, PHP, Python",nope,,3,4,2,2,1,1,1,1,3,2,1,3,4,4,1,1,Python,Need it for work,3
14.09.2015 kl. 14.36.39,36-40,10,Male,"Media Platform, Schibsted Products & Technology",SPT,26,21,Java,a backend developer,"AWK, Bash, C, C#, Clojure, Erlang, Groovy, Java, JavaScript, Objective-C, PHP, Perl, Python, Ruby, Scala, Smalltalk, Visual Basic, COBOL","PSQL (Interbase / Firebird), SQL PL (IBM DB2), SPL (IBM Informix), T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","PSQL , SQL PL , SPL , T-SQL , SQL/PSM , PL/SQL , PL/pgSQL ",4,2,3,2,2,2,2,3,5,3,2,4,3,3,2,1,Erlang,"Need it for work, Correctness, sane-ness & productivity ",4
28.08.2015 kl. 12.33.57,31-35,5,Male,Schibsted Media Platform (part of Schibsted Product & Technology),SPT,20,18,"Java, JavaScript",a backend developer,"AWK, Bash, C, C#, Java, JavaScript, Objective-C, PHP, PostScript, Python, Swift, Tcl, Visual Basic","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/pgSQL (PostgreSQL)","SQL/PSM , PL/pgSQL ",4,3,1,1,1,1,1,1,5,5,4,4,3,1,1,4,JavaScript,"Need it for work, Need it for non-work, Just to learn",4
28.09.2015 kl. 12.27.05,26-30,4,Male,Schibsted P&T,SPT,250,190,"Bash, Scala, R, SQL",Data Scientist,"Bash, Java, R, Scala",PL/SQL (Oracle),PL/SQL ,3,1,2,1,1,1,1,1,4,1,1,1,1,1,2,1,R,Need it for work,4
28.08.2015 kl. 17.24.35,36-40,10,Male,Schibsted Product & Technology,SPT,100,80,"Bash, Java, Scala",a backend developer,"AWK, Bash, C, C#, C++, Clojure, Go, Groovy, Haskell, Java, JavaScript, Lua, Objective-C, PHP, Perl, PowerShell, Python, R, Ruby, Rust, Scala, Swift, Visual Basic","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle)","SQL/PSM , PL/SQL ",3,3,2,3,2,2,2,2,5,3,2,1,1,1,4,2,Scala,"Need it for work, Need it for non-work, Just to learn",5
28.08.2015 kl. 11.44.25,26-30,4,Male,Schibsted Products & Technology,SPT,−1,−1,"Java, Scala",a backend developer,"C, C++, Java, Python",none,,3,4,1,4,1,1,2,1,5,2,1,1,3,1,2,1,Java,"Need it for work, Need it for non-work",2
28.08.2015 kl. 11.44.47,26-30,3,Male,Schibsted Products & Technology,SPT,120,80,"Java, JavaScript, PHP",a backend developer,"Bash, Groovy, Hack, Java, JavaScript, Lua, PHP, Perl, Python, Ruby","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle)","SQL/PSM , PL/SQL ",3,2,3,2,2,2,1,4,4,3,2,5,3,2,3,1,PHP,"Need it for work, Need it for non-work",4
07.09.2015 kl. 08.55.16,41-45,9,Male,Schibsted Products & Technology,SPT,100,70,"Bash, Python, Scala",a backend developer,"AWK, Bash, C, C++, Dart, Fortran, Groovy, Java, JavaScript, Pascal, Perl, PostScript, Python, Ruby, Scala, Tcl","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/pgSQL (PostgreSQL)","SQL/PSM , PL/pgSQL ",4,4,1,5,1,1,1,2,5,2,1,1,5,2,4,1,Scala,"Need it for work, Need it for non-work",5
28.09.2015 kl. 12.09.52,26-30,5,Male,Schibsted Products & Technology,SPT,200,180,"Python, Scala",data scientist,"Common Lisp, Java, Prolog, Python, R, Scala","T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","T-SQL , SQL/PSM , PL/SQL , PL/pgSQL ",2,2,2,2,1,1,1,1,4,3,2,2,5,1,3,1,Python,"Need it for work, Need it for non-work, Just to learn",2
07.09.2015 kl. 09.29.33,36-40,9,Male,Schibsted Products and technologies,SPT,200,100,"Bash, Java, Python, Scala",a backend developer,"AWK, Bash, C, C++, Clojure, Common Lisp, D, Java, OCaml, Python, R, Ruby, Scala",PL/pgSQL (PostgreSQL),PL/pgSQL ,3,4,1,5,3,1,2,1,4,2,2,2,4,3,3,1,Clojure,Just to learn,5
03.09.2015 kl. 10.18.09,31-35,9,Male,Schibsted Products and Technology,SPT,200,100,"Bash, Groovy, Java, Scala",a backend developer,"Bash, C, Groovy, Java, JavaScript, Perl, Python, Scala","T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle)","T-SQL , SQL/PSM , PL/SQL ",3,3,2,2,1,1,1,2,5,3,1,2,2,1,3,1,Scala,"Need it for work, Just to learn",4
28.08.2015 kl. 10.39.21,26-30,5,Female,SPT,SPT,150,130,"Bash, JavaScript",a fullstack developer,"Bash, Io, JavaScript, PHP","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/pgSQL (PostgreSQL)","SQL/PSM , PL/pgSQL ",3,1,1,1,2,2,1,1,3,5,1,4,2,1,1,1,JavaScript,"Need it for work, Just to learn",4
28.08.2015 kl. 10.39.35,26-30,5,Male,SPT,SPT,150,80,"Bash, Groovy, Java, JavaScript, Python",a fullstack developer,"AWK, Bash, C, C#, C++, Groovy, Java, JavaScript, PHP, Python, Ruby, Visual Basic","T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","T-SQL , SQL/PSM , PL/SQL , PL/pgSQL ",3,3,2,3,2,2,2,4,5,4,2,3,3,2,2,1,Groovy,"Need it for work, Just to learn",6
28.08.2015 kl. 10.40.33,31-35,8,Male,SPT,SPT,100,90,"Bash, Java, JavaScript, Ruby",devops,"AWK, Bash, Java, JavaScript, Ruby","SQL PL (IBM DB2), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/pgSQL (PostgreSQL), Watcom-SQL (Sybase)","SQL PL , SQL/PSM , PL/pgSQL , Watcom-SQL ",3,2,1,1,1,2,1,2,3,2,1,1,2,4,2,1,Ruby,"Need it for work, Need it for non-work, Just to learn",5
28.08.2015 kl. 10.42.34,31-35,10,Male,SPT,SPT,40,35,"Bash, Go, Java, Python, Scala",devops,"Bash, C, Go, Java, Lua, Perl, Python","T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","T-SQL , SQL/PSM , PL/SQL , PL/pgSQL ",5,4,1,3,1,1,3,1,4,2,1,3,5,3,2,1,Python,"Need it for work, Need it for non-work, Just to learn",4
28.08.2015 kl. 10.43.32,31-35,9,Male,SPT,SPT,200,100,Scala,a backend developer,"Bash, C, C#, C++, Go, Java, Perl, Python, Ruby, Scala","T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","T-SQL , SQL/PSM , PL/SQL , PL/pgSQL ",3,3,3,2,1,1,2,2,5,2,1,2,3,2,4,1,Scala,"Need it for work, Just to learn",6
28.08.2015 kl. 10.47.14,31-35,9,Male,SPT,SPT,100,90,"Python, Scala",data scientist,"Bash, C, C++, Java, Python, R, Scala, Scheme, Visual Basic","PSQL (Interbase / Firebird), T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","PSQL , T-SQL , SQL/PSM , PL/SQL , PL/pgSQL ",2,3,1,3,1,1,1,1,3,1,1,1,4,1,4,1,Scala,"Need it for work, Need it for non-work, Just to learn",4
28.08.2015 kl. 10.47.27,46-50,10,Male,SPT,SPT,150,130,"JavaScript, Objective-C, Swift",a frontend developer,"Bash, Brainfuck, C, JavaScript, Objective-C, Python, Swift",no,,3,5,1,3,2,2,2,1,2,3,5,1,3,2,1,4,Swift,Just to learn,1
28.08.2015 kl. 10.47.28,26-30,4,Male,SPT,SPT,45,38,"Bash, Groovy, Java, Scala",a backend developer,"AWK, Bash, C, C#, CoffeeScript, Groovy, Java, JavaScript, Perl, Prolog, Python, Scala, Visual Basic, mIRC scripting language",hql?,,4,3,2,2,1,3,1,3,5,4,1,1,3,2,4,1,Scala,"Need it for work, good libraries",3
28.08.2015 kl. 10.47.34,36-40,10,Male,SPT,SPT,100,80,"Java, JavaScript, PHP",architect,"JavaScript, PHP","SQL/PSM (Mimer SQL, MySQL, MonetDB)",SQL/PSM ,3,1,2,2,2,1,1,1,3,4,2,5,2,2,2,2,PHP,Need it for work,3
28.08.2015 kl. 10.48.52,26-30,5,Male,SPT,SPT,150,100,"Bash, JavaScript, PHP",a fullstack developer,"AWK, Bash, C#, C++, Clojure, CoffeeScript, Erlang, Go, Groovy, Java, JavaScript, Lua, Objective-C, PHP, Pascal, Perl, Prolog, Python, Ruby, Rust, Scala, Visual Basic","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","SQL/PSM , PL/SQL , PL/pgSQL ",3,1,2,1,2,3,2,2,3,5,3,5,4,3,2,1,JavaScript,Just to learn,4
28.08.2015 kl. 10.53.45,26-30,4,Male,SPT,SPT,200,180,JavaScript,UX Prototyper / Interaction Designer,"C, C#, C++, Java, JavaScript, Objective-C, PHP, Prolog, Ruby, Visual Basic","T-SQL (Microsoft / Sybase), PL/SQL (Oracle)","T-SQL , PL/SQL ",2,3,5,3,1,2,1,1,4,4,3,3,1,4,1,1,Ruby,"Need it for work, Advantages over my current set of languages, most important: frameworks and tools that support this language (JS)",5
28.08.2015 kl. 11.12.55,31-35,10,Male,SPT,SPT,0,0,"Bash, Java, Python",full stack developer getting into operations,"AWK, Bash, CoffeeScript, Common Lisp, Java, JavaScript, Python, Ruby, Visual Basic, Emacs Lisp",PL/SQL (Oracle),PL/SQL ,3,1,1,1,1,4,1,1,2,4,1,2,2,5,1,1,Ruby,"Need it for work, Just to learn",3
